,latitude,longitude
75790,31.631083,65.742226
75791,31.643056,65.640833
75804,31.631083,65.742226
75808,31.631083,65.742226
75824,30.437013,63.334348
75837,31.60063,64.369652
75840,34.516895,69.147011
75854,34.258796,70.325142
75867,32.074078,66.141526
75868,32.816136,67.762998
75875,34.516895,69.147011
75878,33.666285,69.786029
75895,33.36598,69.438231
75903,31.639364,64.574402
75912,34.623611,70.603333
75913,32.073333,64.833889
75932,31.640278,65.3975
75981,33.598633,69.228996
75994,34.516895,69.147011
76001,32.100204,66.901016
76006,32.100204,66.901016
76013,31.631083,65.742226
76026,33.542622,68.415329
76058,34.516895,69.147011
76060,32.538136,69.251556
76080,34.846589,71.097317
76094,31.631083,65.742226
76098,32.495328,62.262663
76100,34.516895,69.147011
76106,32.191878,67.189449
76107,31.631083,65.742226
76126,34.417538,70.323938
76127,34.516895,69.147011
76129,31.14202,66.47649
76144,34.516895,69.147011
76177,31.631083,65.742226
76180,32.185841,67.017548
76181,31.631083,65.742226
76183,32.426662,65.258576
76196,33.598633,69.228996
76201,36.249722,67.372222
76202,34.417122,70.449593
76205,31.026149,62.450415
76221,31.78801,65.570785
76233,34.417122,70.449593
76235,34.516895,69.147011
76238,34.516895,69.147011
76278,33.492805,68.374321
76306,32.519241,67.416481
76308,32.100204,66.901016
76349,34.346722,62.197315
76407,32.741089,66.29187
76416,32.715364,69.281948
76418,31.631083,65.742226
76428,32.50281,67.415452
76430,32.164997,63.425297
76451,31.503056,65.561944
76462,31.550039,65.45263
76474,33.335258,69.928467
76483,35.283889,70.17
76504,32.173373,66.520679
76511,32.264539,68.524715
76563,34.966667,63.616667
76565,34.966667,63.616667
76569,34.878511,63.340243
76583,32.922049,65.623048
76594,33.598633,69.228996
76595,33.335258,69.928467
76615,36.423779,68.903808
76650,36.705776,68.87706
76653,34.516895,69.147011
76661,32.715785,69.281793
76665,32.173373,66.520679
76674,31.65,65.65
76675,31.650114,65.649786
76685,31.007976,66.398483
76692,34.949256,70.073153
76701,34.417122,70.449593
76705,32.930002,66.689122
76706,34.417122,70.449593
76710,34.417122,70.449593
76714,34.417122,70.449593
76715,32.28924,65.745589
76746,34.346722,62.197315
76766,32.100204,66.901016
76773,32.264539,68.524715
76799,31.631083,65.742226
76808,34.516895,69.147011
76812,33.301944,68.476111
76816,34.516895,69.147011
76825,30.550198,63.78606
76858,33.969167,68.944722
76897,32.84243,68.071923
76899,34.516895,69.147011
76907,33.358508,69.859741
76932,32.861304,67.180975
76939,34.516895,69.147011
76943,33.436221,69.031746
76948,34.674866,70.21344
76960,31.631083,65.742226
77000,33.598633,69.228996
77009,31.585831,67.028191
77039,34.516895,69.147011
77059,34.021194,68.999535
77073,33.358508,69.859741
77076,37.10783,70.567558
77085,34.516895,69.147011
77091,32.666404,65.903629
77099,32.444756,66.073647
77101,34.524667,69.192392
77102,34.276111,62.355278
77104,30.996068,65.475736
77112,30.094363,65.285708
77124,35.030704,71.352135
77136,32.264539,68.524715
77146,34.516895,69.147011
77165,34.516895,69.147011
77236,32.623739,65.456432
77244,32.164997,63.425297
77266,32.629753,62.490807
77300,34.68611,70.915658
77304,31.631083,65.742226
77369,34.875656,71.152008
77434,32.655556,65.959722
77456,30.869041,66.141526
77471,32.922049,65.623048
77486,30.996068,65.475736
77502,31.650233,65.650057
77562,29.783889,64.025
77567,31.363647,63.958611
77600,31.363647,63.958611
77611,34.516895,69.147011
77639,34.417122,70.449593
77643,33.335258,69.928467
77656,33.333847,69.937167
77674,31.544476,65.484566
77720,31.631083,65.742226
77754,34.516895,69.147011
77756,34.875656,71.152008
77769,34.417122,70.449593
77779,31.002735,66.405617
77780,30.996068,65.475736
77798,34.417122,70.449593
77807,31.002735,66.405617
77829,32.100204,66.901016
77957,30.094363,65.285708
77995,35.804295,69.287754
78016,32.074078,66.141526
78034,34.516895,69.147011
78066,33.465179,68.690613
78082,34.120278,69.139167
78097,32.771313,69.07318
78118,34.516895,69.147011
78132,31.825871,64.576431
78140,32.100204,66.901016
78187,34.988941,70.911217
78203,31.617667,65.675942
78210,34.516895,69.147011
78219,31.631083,65.742226
78225,31.60063,64.369652
78228,32.100204,66.901016
78244,31.002735,66.405617
78293,34.701389,68.334444
78304,32.413564,66.350075
78320,32.106665,63.864057
78326,31.623036,65.054246
78355,32.495328,62.262663
78372,33.458527,69.995087
78378,32.264539,68.524715
78387,31.16667,65.66667
78396,33.542622,68.415329
78397,30.094363,65.285708
78450,30.437013,63.334348
78456,33.1782,68.752533
78464,30.437013,63.334348
78467,32.29403,65.746579
78495,31.506944,65.8475
78499,31.781788,64.701233
78510,31.750286,67.316571
78513,33.335258,69.928467
78519,29.949501,66.219811
78548,33.669495,66.046353
78551,31.363647,63.958611
78562,31.363647,63.958611
78567,31.544476,65.484566
78571,35.325022,70.907124
78576,32.233056,66.111667
78577,33.001238,68.643557
78579,33.335258,69.928467
78582,34.516895,69.147011
78588,31.46123,66.52239
78589,33.1782,68.752533
78630,32.999183,65.509828
78632,31.363647,63.958611
78655,31.60063,64.369652
78659,33.498229,67.761598
78669,32.630883,66.767491
78670,31.517962,64.11378
78688,33.363333,69.956389
78693,36.70993,67.1157
78694,36.70993,67.1157
78695,33.566561,69.878354
78715,33.292778,68.286389
78726,32.138161,66.64147
78752,31.617667,65.675942
78775,32.100204,66.901016
78788,31.617667,65.675942
